0, 0
0.5, 0.628287
1, 1.25638
1.5, 1.88409
2, 2.51123
2.5, 3.13761
3, 3.76302
3.5, 4.3873
4, 5.01023
4.5, 5.63164
5, 6.25133
5.5, 6.86912
6, 7.48482
6.5, 8.09824
7, 8.70919
7.5, 9.31749
8, 9.92294
8.5, 10.5254
9, 11.1246
9.5, 11.7205
10, 12.3127
10.5, 12.9012
11, 13.4858
11.5, 14.0663
12, 14.6425
12.5, 15.2143
13, 15.7814
13.5, 16.3437
14, 16.901
14.5, 17.4531
15, 18
15.5, 18.5414
16, 19.0771
16.5, 19.607
17, 20.1309
17.5, 20.6488
18, 21.1603
18.5, 21.6653
19, 22.1638
19.5, 22.6555
20, 23.1404
20.5, 23.6181
21, 24.0887
21.5, 24.5519
22, 25.0077
22.5, 25.4558
23, 25.8962
23.5, 26.3287
24, 26.7532
24.5, 27.1695
25, 27.5776
25.5, 27.9773
26, 28.3684
26.5, 28.7509
27, 29.1246
27.5, 29.4895
28, 29.8454
28.5, 30.1921
29, 30.5297
29.5, 30.858
30, 31.1769
30.5, 31.4863
31, 31.7861
31.5, 32.0762
32, 32.3566
32.5, 32.6271
33, 32.8876
33.5, 33.1382
34, 33.3786
34.5, 33.6089
35, 33.8289
35.5, 34.0387
36, 34.238
36.5, 34.427
37, 34.6054
37.5, 34.7733
38, 34.9306
38.5, 35.0773
39, 35.2133
39.5, 35.3386
40, 35.4531
40.5, 35.5568
41, 35.6497
41.5, 35.7317
42, 35.8028
42.5, 35.863
43, 35.9123
43.5, 35.9507
44, 35.9781
44.5, 35.9945
45, 36
45.5, 35.9945
46, 35.9781
46.5, 35.9507
47, 35.9123
47.5, 35.863
48, 35.8028
48.5, 35.7317
49, 35.6497
49.5, 35.5568
50, 35.4531
50.5, 35.3386
51, 35.2133
51.5, 35.0773
52, 34.9306
52.5, 34.7733
53, 34.6054
53.5, 34.427
54, 34.238
54.5, 34.0387
55, 33.8289
55.5, 33.6089
56, 33.3786
56.5, 33.1382
57, 32.8876
57.5, 32.6271
58, 32.3566
58.5, 32.0762
59, 31.7861
59.5, 31.4863
60, 31.1769
60.5, 30.858
61, 30.5297
61.5, 30.1921
62, 29.8454
62.5, 29.4895
63, 29.1246
63.5, 28.7509
64, 28.3684
64.5, 27.9773
65, 27.5776
65.5, 27.1695
66, 26.7532
66.5, 26.3287
67, 25.8962
67.5, 25.4558
68, 25.0077
68.5, 24.5519
69, 24.0887
69.5, 23.6181
70, 23.1404
70.5, 22.6555
71, 22.1638
71.5, 21.6653
72, 21.1603
72.5, 20.6488
73, 20.1309
73.5, 19.607
74, 19.0771
74.5, 18.5414
75, 18
75.5, 17.4531
76, 16.901
76.5, 16.3437
77, 15.7814
77.5, 15.2143
78, 14.6425
78.5, 14.0663
79, 13.4858
79.5, 12.9012
80, 12.3127
80.5, 11.7205
81, 11.1246
81.5, 10.5254
82, 9.92294
82.5, 9.31749
83, 8.70919
83.5, 8.09824
84, 7.48482
84.5, 6.86912
85, 6.25133
85.5, 5.63164
86, 5.01023
86.5, 4.3873
87, 3.76302
87.5, 3.13761
88, 2.51123
88.5, 1.88409
89, 1.25638
89.5, 0.628287
90, 4.40873e-15
90.5, -0.628287
91, -1.25638
91.5, -1.88409
92, -2.51123
92.5, -3.13761
93, -3.76302
93.5, -4.3873
94, -5.01023
94.5, -5.63164
95, -6.25133
95.5, -6.86912
96, -7.48482
96.5, -8.09824
97, -8.70919
97.5, -9.31749
98, -9.92294
98.5, -10.5254
99, -11.1246
99.5, -11.7205
100, -12.3127
100.5, -12.9012
101, -13.4858
101.5, -14.0663
102, -14.6425
102.5, -15.2143
103, -15.7814
103.5, -16.3437
104, -16.901
104.5, -17.4531
105, -18
105.5, -18.5414
106, -19.0771
106.5, -19.607
107, -20.1309
107.5, -20.6488
108, -21.1603
108.5, -21.6653
109, -22.1638
